Gene	modularity_class	N-cluster	gephi_modularity_class
ABCA5	4	N4	2
ABCB10	4	N4	2
ACYP1	4	N4	2
ADAM28	4	N4	2
AK1	4	N4	2
AKIP1	4	N4	2
APBB1	4	N4	2
APOBEC3G	4	N4	2
ARHGEF10L	4	N4	2
ATOX1	4	N4	2
ATP6V0A1	4	N4	2
ATP6V0C	4	N4	2
BACH2	4	N4	2
BBC3	4	N4	2
BROX	4	N4	2
C16orf86	4	N4	2
C5orf24	4	N4	2
CABLES1	4	N4	2
CASP6	4	N4	2
CCHCR1	4	N4	2
CD44	4	N4	2
CHD3	4	N4	2
COL9A2	4	N4	2
CRAT	4	N4	2
CTH	4	N4	2
CTSH	4	N4	2
CTSO	4	N4	2
DCLK2	4	N4	2
DHRS11	4	N4	2
EML2	4	N4	2
EOGT	4	N4	2
EPHX2	4	N4	2
FAM104A	4	N4	2
FAM161A	4	N4	2
FAM3C	4	N4	2
FILIP1L	4	N4	2
FLOT1	4	N4	2
FYTTD1	4	N4	2
GAB2	4	N4	2
GCHFR	4	N4	2
GCLC	4	N4	2
GLO1	4	N4	2
GLS2	4	N4	2
GPD2	4	N4	2
GRAMD1B	4	N4	2
GSTP1	4	N4	2
GSTZ1	4	N4	2
GUSB	4	N4	2
H1FX	4	N4	2
HIST1H1C	4	N4	2
HIST1H1E	4	N4	2
HIST1H2BA	4	N4	2
HIST1H2BD	4	N4	2
HLA.B	4	N4	2
HMGN4	4	N4	2
HNRNPLL	4	N4	2
HS2ST1	4	N4	2
HSPA1L	4	N4	2
IFRD1	4	N4	2
IFRD2	4	N4	2
IFT81	4	N4	2
INPP5F	4	N4	2
JADE3	4	N4	2
KSR1	4	N4	2
L1CAM	4	N4	2
LEF1	4	N4	2
LMO7	4	N4	2
MECP2	4	N4	2
MFSD6	4	N4	2
MRNIP	4	N4	2
MVP	4	N4	2
MYEF2	4	N4	2
NMT2	4	N4	2
NPC2	4	N4	2
NRBP2	4	N4	2
OPTN	4	N4	2
PANK2	4	N4	2
PEA15	4	N4	2
PFKP	4	N4	2
PFN2	4	N4	2
PM20D2	4	N4	2
POC1A	4	N4	2
PRR3	4	N4	2
RAI1	4	N4	2
RAPGEF3	4	N4	2
RASGRF1	4	N4	2
RASGRP3	4	N4	2
RIPOR1	4	N4	2
RLIM	4	N4	2
RMDN3	4	N4	2
RNF168	4	N4	2
